HS Code,Item (Arabic),Duty Rate (%)
17019100000,سكر قصب أو سكر شوندر بحالته الصلبة يحتوي على منكهات أو مواد تلوين مضافة,5
17019910000,سكر قصب أو سكر شوندر مكرر بحالته الصلبة,0
17019990000,"سكر قصب أو سكر شوندر بحالته الصلبة (غ. م.ك), وسكروز نقي كيماويا بحالته الصلبة",5
17021100000,لاكتوزى وشراب لاكتوز محتوي على % 99وزنا او اكثر من لاكتوز معبر عنه بلاكتوز لامائي محسوبة بالحالة الجافة,0
17021900000,لاكتوزى و شراب لاكتوز (غ. م.ك),0
17022000000,سكر القيقب و شراب القيقب بحالته الصلبة,5
17023000000,جلوكوز وشراب جلوكوز لا يحتوي فركتوز او يحتوي على اقل من % 20وزنا فركتوز محسوبا على الحالة الجافة,0
17024000000,"جلوكوز و شراب جلوكوز بحالته الصلبة, محتوي 20% وزنا ولكن % 50وزنا فركتوز محسوبة بالحالة الجافة عدا السكر المنعكس",0
17025000000,"فركتوز نقي كيماويا, بحالته الصلبة",0
17026000000,أنواع أخر من فركتوز او شراب فركتوز بحالتها الصلبة محتوية على اكثر من % 50وزنا فركتوز محسوبة بحالة جافة عدا السكر المنعكس,0
17029010000,المالتوز النقى كيماويا بحالته الصلبة,5
17029090000,أنواع اخر من سكر .. ؛ مخاليط .. ؛ سوائل سكرية اخر .. ؛ عسل صناعي..؛ عسل اسود.. محتوية % 50وزنا فركتوز محسوبة بالحالة الجافة (غ. م.ك),0
17031000000,عسل أسود (دبس سكر من قصب السكر,0
17039000000,"غيرها ، عسل أسود (دبس سكر من أنواع سكر أخر, (عدا القصب) (غ. م.ك)",0
17041000000,لبان المضغ (علك وان كان مكسوا بالسكر لا تحتوي على الكاكاو,15
17049010000,مصنوعات سكرية المستورد من قبل المصانع كمدخلات إنتاج,0
17049090100,"حلاوة الطحينة بالسكر, لا تحتوي على كاكاو",15
17049090200,المن والسلوى,15
17049090300,مصنوعات سكرية تحتوي على العاب,15
17049090900,"مصنوعات سكرية أخر (بما فيها الشوكولاتة البيضاء, لا تحتوي على الكاكاو (غ. م.ك)",15
18010000000,حبوب كاكاو وكساراتها وان كانت محمصة,5
18020000000,قشور وعصافات و غلالات ونفايات كاكاو آخر,5
18031000000,"غيرها ، عجينة كاكاو بدسمها (بدهنها) (غ.م.ك)",0
18032000000,عجينة كاكاو منزوع دسمها (دهنها) كليا أو جزئيا,0
18040000000,"زبدة كاكاو, دهنه وزيته",0
18050010000,"مسحوق كاكاو, لا يحتوي على سكر مضاف أو على مواد تحلية أخر المستورد من قبل المصانع كمدخلات انتاج",0
18050090000,"مسحوق كاكاو, لا يحتوي على سكر مضاف أو على مواد تحلية أخر (غ. م.ك)",5
18061000000,مسحوق كاكاو يحتوي على سكر مضاف أو مواد تحلية أخر,5
18062010000,"شوكولاتة ومحضرات غذائية أخر تحتوي على كاكاو, مهيأة بشكل كتل... بوزن كغ 2 مستورد.. كمدخلات انتاج",0
18062090000,"شوكولاتة ومحضرات غذائية أخر, تحتوي على كاكاو, مهيأة بشكل كتل أو ألواح ... بوزن كغ 2 (غ. م.ك)",15
18063100000,"شوكولاتة ومحضرات غذائية أخر, تحتوي على كاكاو, مهيأة بشكل كتل أو ألواح أو أصابع, محشوة",15
18063200000,"شوكولاتة ومحضرات غذائية أخر تحتوي على كاكاو, بشكل كتل أو ألواح أو أصابع, غير محشوة",15
18069000100,مصنوعات من شوكولاته تحتوي على العاب,15
18069000900,"شوكولاتة ومحضرات غذائية أخر تحتوي على كاكاو, (غ.م.ك)",15
19011030000,تحتوي على % 50أو أكثر من الحليب ؛ أغذية لحالات مرضية خاصة,0
19011090000,"محضرات صالحة لتغذية الرضع أو صغار الأطفال ، مهيأة للبيع بالتجزئة من دقيق او سميد أو نشاء أو خلاصة شعير ناشط أو حليب (م. ل. ت) (م.ع.ك)",5
19012000100,عجينة السمبوسة,15
19012000900,مخاليط وعجائن من دقيق أو سميد أو .. الخ. لتحضير منتجات المخابز التابعة للبند 1905 (غ.م.ك),15
19019010000,خلاصات الشعير الناشط (مالت),0
19019030000,أغذية من دقيق أو سميد أو نشاء أو شعير ناشط أو حليب الحالات مرضية خاصة (غ. م.ك),0
19019060100,أغذية أطفال محضرة من دقيق أو سميد أو نشاء أو شعير ناشط أو حليب (غ. م.ك) المستورد من قبل المصانع كمدخلات انتاج,0
19019060200,اجبان محضره من حليب (غ. م.ك) (غ. م. ك) المستورد من قبل المصانع كمدخلات انتاج,0
19019060300,قشده محضره من حليب (غ.م.ك) المستورد من قبل المصانع كمدخلات انتاج,0
19019060900,محضرات غذائية أخر من دقيق أو سميد أونشاء أو شعير ناشط أو حليب (غ. م.ك) المستورد من قبل المصانع كمدخلات انتاج,0
19019090100,أغذية أطفال محضرة من دقيق أو سميد أو نشاء أو شعير ناشط أو حليب (غ.م.ك),15
19019090200,اجبان محضره من حليب (غ. م.ك),15
19019090300,قشده محضره من حليب (غ.م.ك),15
19019090400,حليب بودرة محتوي على دهون نباتية,15
19019090900,محضرات غذائية أخر من دقيق أو سميد أو نشاء أو شعير ناشط أو حليب (غ.م.ك),15
19021100110,"شعيرية تحتوي على بيض, غير مطبوخة ولا محشوة ولا محضرة بطريقة أخرى",25
19021100190,"معكرونة تحتوي على بيض, غير مطبوخة ولا محشوة ولا محضرة بطريقة أخرى",25
19021100900,"عجائن غذائية تحتوي على بيض, غير مطبوخة و لا محشوة ولا محضرة بطريقة أخرى ( عدا المعكرونة والشعيرية",25
19021900100,"شعيرية لا تحتوي على بيض, غير مطبوخة ولا محشوة ولا محضرة بطريقة أخرى",0
19021900200,"معكرونة لا تحتوي على بيض, غير مطبوخة ولا محشوة ولا محضرة بطريقة أخرى",0
19021900900,"عجائن غذائية لا تحتوي علىبيض, غير مطبوخة و لا محشوة ولا محضرة بطريقة أخرى (غ. م.ك)",0
19022000000,عجائن غذائية محشوة,25
19023000100,"instant noodles,عجائن غذائية أخر",0
19023000910,شعيرية آخر (غ.م.ك),0
19023000990,عجائن غذائية أخر (غ.م.ك),0
19024000000,كسكس,25
19030000000,تابيوكا وأبدالها محضرة من النشاء بشكل رقائق أو حبيبات أو حبوب مدورة أو نخالات أو بأشكال مماثلة,0
19041000100,أغذية محضرة من حبوب ومنتجات حبوب متحصل عليها بالتنفيش أو التحميص خاصة بالاطفال والمعاقي,15
19041000900,أغذية اخر محضرة من الحبوب ومنتجات الحبوب متحصل عليها بالتنفيش أو التحميص,15
19042000100,أغذية محضرة من رقائق حبوب غير محمصة ورقائق حبوب محمصة أو حبوب منفوشة خاصة بالاطفال والمعاقين,25
19042000900,"أغذية اخر محضرة من رقائق حبوب أو خلائط رقائق حبوب غير محمصة, ورقائق حبوب محمصة أو حبوب منفوشة",25
19043000000,البرغل,0
19049010100,فريكه معده للاطفال,0
19049010200,فريكه خاصه بالمعوقين,0
19049010900,فريكه (غ. م.ك),0
19049090100,محضرات حبوب بشكل حب ( عدا الذرة خاصة بالأطفال,25
19049090200,محضرات حبوب بشكل حب ( عدا الذرة خاصة بالمعاقين,25
19049090900,محضرات حبوب بشكل حب (عدا الذرة) (غ.م.ك),25
19051000000,خبز هش مقرمش معروف باسم (كتاكبروت),25
19052000000,خبز الزنجبيل وما شابهه,25
19053110000,بسكويت محلى المعد إعدادا خاصا لتغذية الأطفال,15
19053190100,بسكويت محلى غير مبكت معبأ بعبوات لا تقل سعتها عن 10 كغم,25
19053190200,"بسكويت حلو ، سعر البيع للمستهلك النهائي لا يتجاوز 100 فلس للقطعة الواحدة",25
19053190900,بسكويت محلى (غ.م.ك),25
19053200100,فطائر ذات ترابيع مجوفة ( وافل او جوفر ),25
19053200910,"رقائق منضدة هشة ( ويفر) ، سعر البيع للمستهلك النهائي لا يتجاوز 100 فلس للقطعة الواحدة",25
19053200990,رقائق منضدة هشة (ويفر) او جوفريت (غ.م.ك),25
19054010000,قرشلة مجروشة مستوردة من قبل المصانع كمدخلات انتاج,0
19054090100,خبز محمص,25
19054090200,خبز توست,25
19054090900,بقسماط ومنتجات محمصة مماثلة (غ. م.ك),25
19059010000,البراشيم الفارغة من النوع المستخدم للإستعمال الصيدلي,15
19059030000,(خبز غ.م.ك),15
19059040100,"فطائر, معجنات, كعك يحتوي وزنا اقل من % 50مسحوق كاكاو او محضرات غذائية اخر ) معدة خصيصا التغذية الاطفال",15
19059040900,"بسكويت, كعك (غ. م.ك) رقائق ويفر مبصومة وورق ارز و منتجات مماثلة معدة خصيصا التغذية الاطفال",15
19059090110,"كيك، سعر البيع للمستهلك النهائي لا يتجاوز 100 فلس للقطعة الواحدة",25
19059090120,"كيك، سعر البيع للمستهلك النهائي يتجاوز 100 فلس للقطعة الواحدة",25
19059090190,"فطائر, معجنات, كعك يحتوي وزنا اقل من % 50من مسحوق الكاكاو او محضرات غذائية اخر)",25
19059090200,فطائر البيتزا,25
19059090300,"كيك رول، سعر البيع للمستهلك النهائي لا يتجاوز 100 فلس للقطعة الواحدة",25
19059090400,"كيك رول، سعر البيع للمستهلك النهائي يتجاوز 100 فلس للقطعة الواحدة",25
19059090500,كرواسان سادة أو محشي نكهات,25
19059090600,شيبس أساسة دقيق البطاطا (السافوري) بعبوات تزيد عن 250 غرام,25
19059090910,"بسكويت، سعر البيع للمستهلك النهائي لا يتجاوز 100 فلس للقطعة الواحدة",25
19059090990,"بسكويت, كعك (غ. م. ك) رقائق الويفر المبصومة و ورق الأرز ومنتجات مماثلة",25
20011000000,خيار وخيار صغير محبب محضر أو محفوظ بالخل أو بحمض الخليك,25
20019010100,ورق العنب المحضرة أو المحفوظة بالخل بعبوات تزيد عن 25 كغم,0
20019010200,زيتون جاهز للاستهلاك محضر أو محفوظ بالخل بعبوات يزيد وزنها عن 25 كغم,0
20019010900,خضر وفواكة .. قشرية وأجزاء أخر صالحة للأكل من نبات محضر أو .. بالخل بعبوات تزيد عن 25 كغم,0
20019090100,بندورة محفوظ بالخل أو بحمض الخليك,25
20019090200,فواكه محفوظ بالخل أو بحمض الخليك,25
20019090300,زيتون محضر أو محفوظ بالخل أو بحمض الخليك جاهز للاستهلاك بعبوات يزيد وزنها عن 20 كغم ولا يتجاوز 25 كغم,25
20019090400,ورق العنب المحضرة أو المحفوظة بالخل,25
20019090500,زيتون محضر أو محفوظ بالخل أو بحمض الخليك جاهز للاستهلاك بعبوات يقل وزنها عن 20 كغم,25
20019090900,"خضر وفواكه وأثمار قشرية وأجزاء أخر (غ. م.ك) صالحة للأكل من نباتات, محضرة أو محفوظة بالخل",25
20021000000,بندورة كاملة أو مقطعة محضرة أو محفوظة بغير الخل أو حمض الخليك,15
20029010100,رب البندورة ( معجون البندورة) ضمن عبوات مهيأة للبيع بالتجزئة لا يزيد وزنها الصافي عن 3 كغم,15
20029010900,بندورة محضرة أو .. أو حمض الخليك ضمن عبوات مهيأة للبيع بالتجزئة لا يزيد وزنها الصافي عن كغم3,15
20029020000,مركزات البندورة بعبوات لا تقل عن 200 كغم وبتركيز لا يقل عن 36 بركس,0
20029090100,رب البندورة (معجون البندورة) (غ. م.ك),15
20029090900,بندورة ( عدا الكاملة أو المقطعة محضرة أو محفوظة بغير الخل أو حمض الخليك (عدا رب البندورة) (غ.م.ك),15
20031000000,فطور من جنس اجاريكوس محضرة أو محفوظة بغير الخل أو حمض الخليك,25
20039000000,فطور وكمأة محضرة او محفوظة بغير الخل أو حمض الخليك (ع.م.ك),25
20041000000,"بطاطا محضرة أو محفوظة بغير الخل أو حمض الخليك أو السكر, مجمدة",15
20049000100,ورق العنب المحضرة أو المحفوظة بغير الخل أو حمض الخليك أو السكر (مجمدة),25
20049000900,"خضر أخر وخليط خضر, محضرة أو محفوظة بغير الخل أو حمض الخليك أو السكر, مجمدة (غ.م.ك)",25
20051000000,"خضر أخر متجانسة محضرة أو محفوظة بغير الخل أو حمض الخليك أو السكر, غير مجمدة",25
20052010100,شيبس بطاطا بعبوات تزيد عن 250 غرام مستورد من قبل المصانع كمدخلات انتاج,0
20052010900,(غير محدد في المصدر),0
20052090100,محضرات من بطاطا طازجة (غير المصنعة من دقيق او مسحوق البطاطا على شكل رقائق او عيدان او غيرها من الاشكال (شيبس),25
20052090200,شيبس بطاطا بعبوات تزيد عن 250 غرام,25
20052090900,غيرها,25
20054000000,بازلاء ( بيسوم ساتيفيوم) محضرة أو محفوظة بغير الخل أو حمض الخليك أو السكر,25
20055100000,"لوبياء وفاصولياء, مقشورة محضرة أو محفوظة بغير الخل أو حمض الخليك أو السكر, غير مجمدة عدا المنتجات الداخلة في البند 2006",5
20055900000,"لوبياء وفاصولياء (غ. م.ك. محضرة أو محفوظة بغير الخل أو حمض الخليك أو السكر, غير مجمدة",25
20056000000,"هليون محضر أو محفوظ بغير الخل أو حمض الخليك أو السكر, غير مجمد",25
20057000100,زيتون جاهز للاستهلاك محفوظ بغير الخل غير مجمد بعبوات يزيد وزنها عن 20 كغم,25
20057000900,"زيتون محضر أو محفوظ بغير الخل أو حمض الخليك أو السكر, غير محمد (غ.م.ك)",25
20058000000,"ذرة حلوة (زياميس, ساكاراتا) محضرة أو محفوظة بغير الخل أو حمض الخليك أو السكر, غير مجمدة",15
20059100000,براعم بامبو (بوص هندي),25
20059910100,بقوليات أخر و.... محضرة أو محفوظة بغير الخل أو ... غير مجمدة المستورد من قبل المصانع كمدخلات انتاج,0
20059910900,"خضر أخر و خليط خضر, محضرة أو محفوظة بغير الخل أو ... غير مجمدة المستورد من قبل المصانع كمدخلات انتاج",0
20059990100,فول معلب محضر أو محفوظ بغير الخل أو حمض الخليك أو السكر,25
20059990200,حمص معلب محضر أو محفوظ بغير الخل أو حمض الخليك أو السكر,25
20059990300,عدس سائل معلب محضر او محفوظ بغير الخل او حامض الخليك او السكر,25
20059990400,ورق العنب المحضرة أو المحفوظة بغير الخل أو حمض الخليك أو السكر غير مجمدة),25
20059990500,ارضي شوكي محضر او محفوظ بغير الخل أو حمض الخليك.,25
20059990900,"خضر أخر وخليط خضر محضرة أو محفوظة بغير الخل أو حمض الخليك أو السكر, غير مجمدة (غ.م.ك)",25
20060000000,خضر وفواكه وأثمار قشرية وقشور فواكه وأجزاء أخر من نباتات محفوظة بالسكر,25
20071000000,مربى فواكة وهلام و خبيص (مرملاد) أو هريس أو عجن فواكة أو أثمار قشرية مطبوخة متجانسة,15
20079100000,مربى حمضيات وهلام وخبيص (مرملاد) أو هريس أو عجن حمضيات مطبوخة,25
20079900100,دبس العنب,15
20079900200,قمر الدين,15
20079900400,مربى وهلام فواكة بعبوات تزيد عن 25 كغم مستوردة من قبل المصانع كمدخلات إنتاج,15
20079900900,"غيرها من مربى وهلام فواكة ، خبيص (مرملاد) أو هريس أو عجن فواكة أو أثمار قشرية مطبوخة وإن اضيف اليها سكر أو مواد تحليه أخر",15
20081110000,زبدة الفول السوداني المستورد من قبل المصانع كمدخلات انتاج,0
20081190100,الفول السوداني المحمص,25
20081190900,الفول سوداني و زبدة الفول سوداني المحضر أو المحفوظ ( ع م ك ),25
20081911000,عجينة البندق او عجينة الفستق بعبوات لا يقل وزنها عن 20 كغم,0
20081919101,جوز الكاجو المحمص,15
20081919102,لوز محمص,15
20081919103,بندق محمص,15
20081919104,فستق حلبي محمص,15
20081919105,جوز الماكديميا المحمص,15
20081919106,جوز عادي محمص,15
20081919107,جوز برازيلي محمص,15
20081919900,"أثمار قشرية محمصة من الفصل () 8، بما فيها المخاليط ، محضرة أو محفوظة بطريقة أخرى (غ.م.ك)",15
20081921000,عجينة البندق او عجينة الفستق بعبوات لا يقل وزنها عن 20 كغم,0
20081929000,غيرها من ثمار قشرية من الفصل (8),15
20081990100,"الطحينة ( عصارة السمسم ), (غ.م.ك)",15
20081990200,بذور الكوسا المحمصة,15
20081990300,بذور القرع المحمصة,15
20081990400,بذور البطيخ المحمصة,15
20081990900,"أثمار قشرية وبذور أخر محمصة من اصناف فصل (07) و (12) بما فيها مخاليط, محضرة أو محفوظة بطريقة أخرى (غ.م.ك)",15
20082010000,حبيبات أو هريس أو عجن مستوردة من قبل المصانع كمدخلات انتاج (أناناس),0
20082090000,"أناناس محضر أو محفوظ بطريقة أخرى, (غ.م.ك)",25
20083010000,حبيبات أو هريس أو عجن مستوردة من قبل المصانع كمدخلات انتاج (حمضيات),0
20083090000,"حمضيات محضرة أو محفوظة بطريقة أخرى, (غ.م.ك)",25
20084000000,"كمثرى (أجاص) محضر أو محفوظ بطريقة أخرى, (غ.م.ك)",15
20085010000,مشمش محضر أو محفوظ بطريقة أخرى ضمن عبوات من كغم 25 فما فوق,0
20085090000,"مشمش محضر أو محفوظ بطريقة أخرى, (غ. م.ك)",25
20086000000,"کرز محضر أو محفوظ بطريقة أخرى, (غ. م.ك)",25
20087010000,خوخ (دراق) بمافيها النكترين محضر أو محفوظ بطريقة أخرى ضمن عبوات من 25 كغم فما فوق,0
20087090000,"خوخ (دراق بمافيها النكترين محضر أو محفوظ بطريقة أخرى, (غ. م.ك)",15
20088010000,فراولة (فريز) محضرة أو محفوظة بطريقة أخرى ضمن عبوات من 25 كغم فما فوق,0
20088090000,فراولة (فريز) محضرة أو محفوظة بطريقة أخرى (غ. م.ك),25
20089100000,"قلب النخيل محضر أو محفوظ بطريقة أخرى, (غ. م.ك)",15
20089310000,هريس.. توت برى فاكسينيوم ماكروكربون.. محضر أو محفوظ بطريقة .. مستورد من قبل مصانع كمدخل انتاج,0
20089390000,"توت برى فاكسينيوم ماكروكربون, فاكسينيوم اوكسيكوكس... محضر أو محفوظ بطريقة أخرى (غ. م.ك)",15
20089700000,مخاليط فواكه وأثمار قشرية وأجزاء أخر من نباتات محضرة أو محفوظة بطريقة أخرى (غ.م.ك),15
20089920000,هريس او عجن فواكة المستورد من قبل المصانع كمدخلات انتاج (غ. م.ك),0
20089990000,"فواكه وأثمار قشرية وأجزاء أخر من نباتات, صالحة للاكل محضرة أو محفوظة بطريقة أخرى, (غ.م.ك)",15
20091110000,"مركزات عصير برتقال طبيعي غير مختمر ولا مضاف إلية كحول, وان .... مجمد بعبوات 25 كغ",0
20091190000,"عصير برتقال غير مختمر ولا مضاف إليه كحول مجمد, عدا مركزات العصير الطبيعي)",15
20091210000,"مركزات عصير برتقال طبيعي غير مختمر ولا مضاف إلية كحول غير مجمد, قيمة بركس 20 بعبوات 25 كغم>=",0
20091290000,"مركزات عصير برتقال غير مختمر ولا مضاف إلية كحول غير مجمد, قيمة بركس 20 (.م.ك)",15
20091910000,"مركز عصير برتقال طبيعي غير مختمر ولا مضاف إلية كحول, مجمد و غير مجمد (غ. م.ك) بعبوة 25 كغ",0
20091990000,عصير ومركز برتقال غير مختمر ولا مضاف إليه كحول غير مجمد يزيد قيمة البركس عن .20,15
20092110000,مركز عصير ليمون هندي جريب فروت طبيعي غير مختمر ولا مضاف إلية كحول قيمة بركس 20 بعبوات =>كغم25,0
20092190000,"مركزات وعصير ليمون هندي جريب فروت غير مختمر ولا مضاف إلية كحول قيمة بركس , 20(غ.م.ك)",25
20092910000,مركز عصير ليمون هندي جريب فروت طبيعي غير مختمر ولا مضاف إلية كحول (غ. م.ك) بعبوات => كغم 25,0
20092990000,مركزات و عصير ليمون هندي جريب فروت غير مختمر ولا مضاف إلية كحول (غ. م.ك),25
20093110000,"مركزات عصير حمضيات اخر طبيعي, غير مختمر ولا مضاف إلية كحول (غ. م.ك) قيمة بركس 20 بعبوات =>كغم25",0
20093190000,"مركزات وعصير حمضيات اخر غير مختمر ولا مضاف إلية كحول, قيمة بركس 20 (.م.ك)",15
20093910000,مركزات و عصير حمضيات اخر غير مختمر ولا مضاف إلية كحول (غ. م.ك) بعبوات =>كغم25,0
20093990000,مركزات و عصير حمضيات اخر غير مختمر ولا مضاف إلية كحول (غ.م.ك),15
20094110000,مركزات عصير اناناس طبیعی غیر مختمر ولا مضاف إلية كحول قيمة بركس 20 بعبوات =>كغم25,0
20094190000,مركزات و عصير اناناس غير مختمر ولا مضاف إلية كحول قيمة بركس 20 غ. م.ك),25
20094910000,مركزات عصير اناناس طبيعي غير مختمر ولا مضاف إلية كحول (غ.م.ك) بعبوات كغم25,0
20094990000,مركزات و عصير اناناس غير مختمر ولا مضاف إلية كحول (غ. م.ك),15
20095000000,مركزات عصير بندورة طبيعيه غير مختمر ولا مضاف إليه كحول وان اضيف اليه سكر او مواد تحلية آخر,15
20096110000,مركز عصير عنب بمافيه سلافة عنب طبيعي غير مختمر ولا مضاف إلية كحول قيمة بركس 20 بعبوات =>كغم25,0
20096190000,"مركزات وعصير عنب بما فيه سلافة العنب غير مختمر ولا مضاف إلية كحول قيمة بركس , 20(غ. م.ك)",15
20096910000,"مركزات عصير عنب بمافيه سلافة العنب ) طبيعي, غير مختمر ولا مضاف إلية كحول, (غ. م. ك) بعبوات > كغم25",0
20096990000,مركزات وعصير عنب بمافيه سلافة العنب غير مختمر ولا مضاف إلية كحول (غ. م.ك),15
20097110000,"مركزات عصير تفاح طبيعي, غير مختمر ولا مضاف إلية كحول قيمة بركس فيه 20 بعبوات 25 كغم =",0
20097190000,مرکزات و عصير تفاح غير مختمر و لا مضاف إلية كحول قيمة بركس فيه 20م..ك),15
20097910000,"مركزات عصير تفاح طبيعي, غير مختمر و لا مضاف إلية كحول (غ. م.ك) بعبوات > كغم25",0
20097990000,"مركزات و عصير تفاح, غير مختمر ولا مضاف إلية كحول (غ. م.ك)",15
20098110000,مرکز عصير توت برى طبيعي ( فاكسينيوم ماكروكربون.. غير مختمر ولا مضاف .. مشروب روحي.. بعبوات 25 كغم =,0
20098190000,"عصير توت برى فاكسينيوم ماكروكربون, فاكسينيوم اوكسيكوكس.. غير مختمر ولا مضاف .. مشروب روحي... . .غم",15
20098910000,مركز عصير طبيعي من فواكة .. غير مختمر ولا مضاف اليه مشروبات روحية وان اضيف .. بعبوات .25(كغم غ.م>=,0
20098920000,دبس التمر بدون إضافة سكر غير مختمر ولا مضاف إليه كحول,0
20098990000,"عصير من نوع اخر من الفواكة او الخضر, غير مختمر ولا مضاف اليه مشروبات روحية وان اضيف... ). غم.ك(",15
20099020000,"مركزات مخاليط عصير طبيعي، من فواكه او خض, غير مختمر ولا مضاف إليها كحول (غ. م.ك) بعبوات 25 كغم",0
20099090000,مخاليط عصير فواكه او خضار غير مختمرة ولا مضاف إليها كحول (غ. م.ك),15
21011110000,خلاصات وأرواح ومركزات بن المستورد من قبل المصانع كمدخلات انتاج,0
21011190000,خلاصات وأرواح ومركزات بن (غ.م.ك),5
21011200100,محضرات أساسها البن,5
21011200900,محضرات أساسها خلاصات أو أرواح أو مركزات البن (غ.م.ك),5
21012010000,خلاصات وأرواح ومركزات شاي هذه الأصناف أو أساسها الشاي أو المته المستورد من قبل المصانع كمدخلات انتاج على ان لا تكون مهيأة للبيع بالتجزئة,0
21012090000,خلاصات وأرواح ومركزات شاي أو متة ومحضرات أساسها هذه الأصناف أو أساسها الشاي أو المته (غ.م.ك),25
21013000000,هندباء (شكوريا) محمصة وغيرها من أبدال البن المحمصة وخلاصاتها وأرواحها ومركزاتها,5
21021000000,خمائر حية فعالة,5
21022000100,خمائر ميتة غير فعالة,5
21022000900,كائنات مجهرية دقيقة وحيدة الخلية ميتة (غ. م.ك),5
21023000000,مساحيق محضرة للتخمير,5
21031000000,صلصة الصويا,5
21032000000,"صلصة بندورة مسماة كتش أب ، صلصات بندورة اخر",25
21033000000,دقيق ومساحيق خردل و خردل محضر,5
21039010000,صلصات اخر و محضرات للصلصات (غ. م.ك) ; توابل مخلوطة المستورد من قبل المصانع كمدخلات انتاج,0
21039090000,صلصات اخر و محضرات للصلصات (غ.م.ك) توابل مخلوطة (غ.م.ك),5
21041000000,حساء ومرق ومحضراتها,5
21042010000,محضرات غذائية مركبة متجانسة المستورد من قبل المصانع كمدخلات انتاج,0
21042090000,محضرات غذائية مركبة متجانسة (غ.م.ك),25
21050000000,بوظة (ICE CREAM) ومثلجات أخر صالحة للأكل,5
21061000100,مركزات بروتين ومواد بروتينية معدلة خصائصها الفيزيائية للاستخدام البشري,0
21061000900,مركزات بروتين ومواد بروتينية معدلة خصائصها (غ. م.ك),0
21069020000,محضرات كحولية مركبة من الأنواع المستعملة في صناعة المشروبات,5
21069030000,المحضرات الغذائية (غ. م.ك) المعدة فقط كأغذية للحالات المرضية الخاصة,0
21069040000,منتجات من لبن مستبدل عنصر أو أكثر من عناصره الطبيعية بمادة أخرى المعدة لتغذية الأطفال,0
21069050000,مسحوق الشراب (غ.م.ك),5
21069080000,محضرات غذائية (غ. م.ك) المستوردة من قبل المصانع كمدخلات انتاج,0
21069091000,المتممات الغذائية المهيأة للبيع على شكل مستحضرات صيدلانية بغرض الحفاظ على الصحة,5
21069099100,المحضرات الغذائية المعدة إعدادا خاصا لتغذية الأطفال,15
21069099200,محضرات غذائية تحتوي على عسل,15
21069099300,شيبس يتكون من مخاليط ومن ضمنها البطاطا بعبوات تزيد عن 250 غرام,15
21069099900,محضرات غذائية أخر (غ.م.ك),15
22011010100,"مياه معدنية معبأة في عبوات اقل من 5 لتر غير محلاة وغير منكهة ، عدا المحتوية على غاز",25
22011010200,مياه معدنية محتوية على غاز معبأة في عبوات اقل من 5 لتر غير محلاة وغير منكهة,25
22011010300,"مياه معدنية محتوية على غاز معبأة في عبوات اكثر من 5 لتر, غير محلاة وغير منكهة",25
22011010900,"مياه معدنية معبأة في عبوات اكثر من 5 لتر, غير محلاة وغير منكهة ، عدا المحتوية على غاز",25
22011090000,"مياه غازية, غير محلاة وغير منكهة",25
22019000100,مياه طبيعية غير محلاة وغير منكهة,5
22019000900,مياه اخر عدا المعدنية والغازية والطبيعية غير محلاة أو منكهة جليد وثلج,5
22021000100,مياه غازية محلاة أو منكهة جاهزة للاستهلاك المباشر في عبوات مستردة,15
22021000200,مياه غازية محلاة أو منكهة جاهزة للاستهلاك المباشر في عبوات غير مستردة,15
22021000300,مياه معدنية محلاة أو منكهة,15
22021000400,مياه طبيعية محلاة أو منكهة,15
22021000500,"مشروبات غازية أخر غير كحولية, عدا عصائر الفواكة أو الخضر الداخلة في البند ()2009",15
22021000600,مشروبات الطاقة الغازية,15
22021000900,مياه أخر عدا المعدنية والغازية والطبيعية محلاة أو منكهة,15
22029100000,جعة ( بيرة) من غير كحول,25
22029910000,أغذية متكاملة على شكل مشروبات جاهزة للاستخدام لحالات مرضية خاصة,0
22029990100,"مشروبات غير كحولية غازية, اساسها عصائر الفواكة أو الخضر الداخلة في البند ()2009",25
22029990200,"مشروبات غير كحولية, اساسها عصائر الفواكة أو الخضر الداخلة في البند ()2009",25
22029990300,شراب شعير غير كحولي,25
22029990400,حليب منكه,25
22029990500,"مشروبات أخر غير كحولية غازية ، عدا عصائر الفواكه أو الخضر الداخلة في البند () 2009(غ.م .ك )",25
22029990900,"مشروبات أخر غير كحولية ، عدا عصائر الفواكة أو الخضر الداخلة في البند () 2009(غ. م.ك)",25
22030000000,جعة ( بيرة ) مصنوعة من الشعير الناشط,0
22041010000,بقيمة لا تزيد عن 4 دنانير / لتر,0
22041020000,بقيمة تزيد عن 4 دنانير / لتر ولا تتجاوز 16 دينار / لتر,0
22041090000,بقيمة تزيد عن 16 دنانير / لتر,0
22042110000,بقيمة لا تزيد عن 4 دنانير / لتر,0
22042120000,بقيمة تزيد عن 4 دنانير / لتر ولا تتجاوز 16 دينار لتر,0
22042190000,بقيمة تزيد عن 16 دنانير / لتر,0
22042210000,بقيمة لا تزيد عن 4 دنانير / لتر,0
22042220000,بقيمة تزيد عن 4 دنانير / لتر ولا تتجاوز 16 دينار / لتر,0
22042290000,بقيمة تزيد عن 16 دنانير / لتر,0
22042910000,بقيمة لا تزيد عن 4 دنانير / لتر,0
22042920000,بقيمة تزيد عن 4 دنانير / لتر ولا تتجاوز 16 دينار لتر,0
22042990000,بقيمة تزيد عن 16 دنانير / لتر,0
